settlement_date,settlement_period,fuel_type,source,generation_mw
2026-06-12,19,WIND,neso,10663.0
2026-06-12,20,WIND,elexon,9739
2026-06-12,20,WIND,neso,10772.0
2026-06-12,21,WIND,elexon,10663
2026-06-12,21,WIND,neso,10903.0
2026-06-12,22,WIND,elexon,10772
2026-06-12,22,WIND,neso,11084.0
2026-06-12,23,WIND,elexon,10903
2026-06-12,23,WIND,neso,11550.0
2026-06-12,24,WIND,elexon,11084
2026-06-12,24,WIND,neso,11958.0
2026-06-12,25,WIND,elexon,11550
2026-06-12,25,WIND,neso,12443.0
2026-06-12,26,WIND,elexon,11958
2026-06-12,26,WIND,neso,12401.0
2026-06-12,27,WIND,elexon,12443
2026-06-12,27,WIND,neso,12079.0
2026-06-12,28,WIND,elexon,12401
2026-06-12,28,WIND,neso,11974.0
2026-06-12,29,WIND,elexon,12079
2026-06-12,29,WIND,neso,12061.0
2026-06-12,30,WIND,elexon,11974
2026-06-12,30,WIND,neso,12356.0
2026-06-12,31,WIND,elexon,12061
2026-06-12,31,WIND,neso,12461.0
2026-06-12,32,WIND,elexon,12356
2026-06-12,32,WIND,neso,12218.0
2026-06-12,33,WIND,elexon,12461
2026-06-12,33,WIND,neso,12812.0
2026-06-12,34,WIND,elexon,12218
2026-06-12,34,WIND,neso,13049.0
2026-06-12,35,WIND,elexon,12812
2026-06-12,35,WIND,neso,13475.0
2026-06-12,36,WIND,elexon,13049
2026-06-12,36,WIND,neso,13848.0
2026-06-12,37,WIND,elexon,13475
2026-06-12,37,WIND,neso,13761.0
2026-06-12,38,WIND,elexon,13848
2026-06-12,38,WIND,neso,12658.0
2026-06-12,39,WIND,elexon,13761
2026-06-12,39,WIND,neso,12442.0
2026-06-12,40,WIND,elexon,12658
2026-06-12,40,WIND,neso,12584.0
2026-06-12,41,WIND,elexon,12442
2026-06-12,41,WIND,neso,12279.0
2026-06-12,42,WIND,elexon,12584
2026-06-12,42,WIND,neso,12242.0
2026-06-12,43,WIND,elexon,12279
2026-06-12,43,WIND,neso,12347.0
2026-06-12,44,WIND,elexon,12242
2026-06-12,44,WIND,neso,12357.0
2026-06-12,45,WIND,elexon,12347
2026-06-12,45,WIND,neso,12643.0
2026-06-12,46,WIND,elexon,12357
2026-06-12,46,WIND,neso,12924.0
2026-06-12,47,WIND,elexon,12643
2026-06-12,47,WIND,neso,13318.0
2026-06-12,48,WIND,elexon,12924
2026-06-12,48,WIND,neso,13330.0
